,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
217,103.840679309,1.37364174742,Negative,74,819,9.035409035409035,0.2421144078144078
218,103.840679309,1.38364174742,Negative,22,184,11.956521739130435,0.1629679347826087
219,103.840679309,1.39364174742,Negative,3,34,8.823529411764707,0.13224705882352938
220,103.840679309,1.41364174742,Negative,25,427,5.85480093676815,0.15164918032786884
221,103.840679309,1.42364174742,Negative,72,859,8.381839348079161,0.19222165308498254
222,103.840679309,1.43364174742,Negative,98,1005,9.751243781094528,0.18159074626865673
223,103.840679309,1.44364174742,Negative,4,18,22.22222222222222,0.05361111111111113
224,103.840679309,1.46364174742,Negative,11,112,9.821428571428571,0.20529375
225,103.850679309,1.22364174742,Negative,13,166,7.83132530120482,0.24901686746987953
226,103.850679309,1.27364174742,Negative,165,2075,7.951807228915662,0.30473253012048196
227,103.850679309,1.28364174742,Negative,1069,13407,7.973446706944133,0.26881270977847393
228,103.850679309,1.30364174742,Negative,508,6455,7.869868319132456,0.2623253601859024
229,103.850679309,1.31364174742,Negative,75,1209,6.20347394540943,0.2802786600496278
230,103.850679309,1.32364174742,Negative,97,1093,8.874656907593778,0.19847758462946022
231,103.850679309,1.33364174742,Negative,155,1407,11.01634683724236,0.21126055437100213
232,103.850679309,1.34364174742,Negative,70,857,8.168028004667445,0.20259836639439907
233,103.850679309,1.35364174742,Negative,146,1673,8.726838015540944,0.3102433353257621
234,103.850679309,1.36364174742,Negative,36,751,4.793608521970706,0.21000785619174434
235,103.850679309,1.37364174742,Negative,96,988,9.7165991902834,0.18719757085020242
236,103.850679309,1.38364174742,Negative,16,227,7.048458149779736,0.32164801762114537
237,103.850679309,1.39364174742,Negative,2,46,4.3478260869565215,0.1454108695652174
238,103.850679309,1.42364174742,Negative,22,304,7.236842105263158,0.21166447368421054
239,103.850679309,1.43364174742,Negative,3,26,11.538461538461538,0.1422576923076923
240,103.860679309,1.22364174742,Negative,1,16,6.25,0.3169375
241,103.860679309,1.26364174742,Negative,51,483,10.559006211180124,0.23766935817805382
242,103.860679309,1.27364174742,Negative,7,116,6.0344827586206895,0.16697155172413794
243,103.860679309,1.28364174742,Negative,1005,13562,7.410411443739862,0.25497308656540335
244,103.860679309,1.30364174742,Negative,589,7278,8.09288266007145,0.24447460840890356
245,103.860679309,1.31364174742,Negative,203,2509,8.090872857712236,0.2607595057791949
246,103.860679309,1.32364174742,Negative,60,959,6.256517205422315,0.22213003128258602
247,103.860679309,1.33364174742,Negative,14,271,5.166051660516605,0.10597712177121771
248,103.860679309,1.34364174742,Negative,12,173,6.9364161849710975,0.17632890173410404
249,103.860679309,1.35364174742,Negative,13,208,6.25,0.23311634615384616
250,103.860679309,1.36364174742,Negative,24,359,6.685236768802229,0.21673621169916435
251,103.860679309,1.37364174742,Negative,16,256,6.25,0.2415625
252,103.860679309,1.39364174742,Negative,2,21,9.523809523809524,0.2421761904761905
