,lon,lat,nltk_sentiment,count,total,%neg
364,103.740679309,1.42364174742,Positive,2,6,33.33333333333333
365,103.740679309,1.43364174742,Negative,2,8,25.0
366,103.740679309,1.43364174742,Neutral,2,8,25.0
367,103.740679309,1.43364174742,Positive,4,8,50.0
368,103.740679309,1.44364174742,Negative,2,8,25.0
369,103.740679309,1.44364174742,Neutral,6,8,75.0
370,103.750679309,1.22364174742,Negative,6,53,11.320754716981133
371,103.750679309,1.22364174742,Neutral,19,53,35.84905660377358
372,103.750679309,1.22364174742,Positive,28,53,52.83018867924528
373,103.750679309,1.23364174742,Neutral,1,2,50.0
374,103.750679309,1.23364174742,Positive,1,2,50.0
375,103.750679309,1.28364174742,Neutral,4,4,100.0
376,103.750679309,1.29364174742,Neutral,6,9,66.66666666666666
377,103.750679309,1.29364174742,Positive,3,9,33.33333333333333
378,103.750679309,1.30364174742,Negative,2,31,6.451612903225806
379,103.750679309,1.30364174742,Neutral,18,31,58.06451612903226
380,103.750679309,1.30364174742,Positive,11,31,35.483870967741936
381,103.750679309,1.31364174742,Negative,28,133,21.052631578947366
382,103.750679309,1.31364174742,Neutral,51,133,38.34586466165413
383,103.750679309,1.31364174742,Positive,54,133,40.6015037593985
384,103.750679309,1.32364174742,Negative,18,287,6.2717770034843205
385,103.750679309,1.32364174742,Neutral,152,287,52.961672473867594
386,103.750679309,1.32364174742,Positive,117,287,40.76655052264808
387,103.750679309,1.33364174742,Negative,50,387,12.919896640826872
388,103.750679309,1.33364174742,Neutral,214,387,55.297157622739014
389,103.750679309,1.33364174742,Positive,123,387,31.782945736434108
390,103.750679309,1.34364174742,Negative,17,234,7.264957264957266
391,103.750679309,1.34364174742,Neutral,136,234,58.119658119658126
392,103.750679309,1.34364174742,Positive,81,234,34.61538461538461
393,103.750679309,1.35364174742,Negative,50,554,9.025270758122744
394,103.750679309,1.35364174742,Neutral,349,554,62.996389891696744
395,103.750679309,1.35364174742,Positive,155,554,27.978339350180505
396,103.750679309,1.36364174742,Negative,23,254,9.05511811023622
397,103.750679309,1.36364174742,Neutral,159,254,62.59842519685039
398,103.750679309,1.36364174742,Positive,72,254,28.346456692913385
399,103.750679309,1.37364174742,Negative,30,269,11.152416356877323
400,103.750679309,1.37364174742,Neutral,127,269,47.21189591078067
401,103.750679309,1.37364174742,Positive,112,269,41.63568773234201
402,103.750679309,1.38364174742,Negative,96,931,10.311493018259936
